"tstep","state","x","y","vx","vy","sx","sy","svx","svy","sax","say","sjx","sjy","fx","fy","blk_tri"
501,7,0.00451900000000001,0.083763,0.003965,-0.747102,0.00449406201299766,0.0835607548742274,-0.0178502074936593,0.702052107607833,-1.16362432938698,-4.32793927205168,8.75777609920519,-74.1812516185666,0,0,3
506,7,0.0044,0.087212,0.014633,-0.73261,0.00437952746814184,0.0870171556485545,-0.0234718384113127,0.680669472637024,-1.08420143426224,-4.67437094381326,10.7157196526704,-65.594658894036,0,0,3
511,7,0.00425,0.090521,0.020729,-0.698104,0.00423734009134708,0.0903669192185808,-0.0285995054056404,0.657668176656582,-0.993830961751411,-4.989895499288,12.2974023565186,-57.0314946938538,0,0,3
516,7,0.00407500000000001,0.093703,0.025932,-0.674391,0.00406863630711284,0.0935884305764696,-0.0332311213818911,0.632731183965947,-0.890487076229064,-5.23798046460469,13.5450875772366,-47.7555381540181,0,0,3
521,7,0.00387900000000001,0.096744,0.032211,-0.651048,0.00387833846469623,0.0966739261650012,-0.0373701794105559,0.606744018149982,-0.78257747673397,-5.4164327979006,14.5029907021848,-38.7307210414788,0,0,3
526,7,0.003663,0.099652,0.036979,-0.61845,0.00366921839806963,0.0996196814516011,-0.0409925665703647,0.579960965949748,-0.672233648479204,-5.52918647169032,15.1732535092221,-30.0416747234872,0,0,3
531,8,0.00343,0.102418,0.041929,-0.592664,0.00344375220315269,0.102423218477378,-0.0441095468746061,0.552647817655932,-0.560542420638372,-5.58051621951346,15.5983525420902,-21.7968488193599,0,0,3
536,8,0.00318400000000001,0.10504,0.04495,-0.567867,0.00320459132691582,0.105083804330212,-0.0467084973119466,0.525042419045198,-0.449011312952251,-5.57647228361721,15.7776893735531,-14.0739822551948,0,0,3
541,8,0.00293400000000001,0.107519,0.046562,-0.543807,0.002954869037888,0.107601036108243,-0.0487899009384783,0.497334485666006,-0.340322960801209,-5.52132588572791,15.7234520960574,-6.89756935793335,0,0,3
546,8,0.00267300000000001,0.109867,0.049409,-0.507913,0.00269720930407742,0.10997555603088,-0.0503684870032875,0.469699783134094,-0.235781218304898,-5.41981845859104,15.460444895257,-0.287663830992848,0,0,3
551,8,0.002416,0.112078,0.050715,-0.487848,0.00243421032789977,0.112210239952736,-0.0514635040468424,0.442351389041603,-0.136717159912683,-5.28050328350084,15.0137224592133,5.67014198937296,0,0,3
556,8,0.002151,0.114195,0.051735,-0.452951,0.00216808738104126,0.114306417750795,-0.0521097386899753,0.415382353396531,-0.0436241045928324,-5.10546338896215,14.4230906661985,11.0408176263239,0,0,3
561,8,0.00189700000000001,0.116229,0.052132,-0.435853,0.00190204974765518,0.116285604592024,-0.0523030751016836,0.389576178404435,0.040031001565029,-4.94941881693084,13.6705273010062,14.9441614067496,0,0,3
566,8,0.00163100000000001,0.11815,0.052645,-0.417233,0.00163842547982214,0.118154118106297,-0.052077314830203,0.364925027800537,0.113183752909102,-4.81950770330732,12.7907440478446,17.6297705027956,0,0,3
571,8,0.001372,0.119928,0.052642,-0.398747,0.0013785702949594,0.119905758093103,-0.0514899688449546,0.340965496362122,0.177016680333957,-4.68935200989197,11.8440613517912,19.8970168598179,0,0,3
576,8,0.001115,0.121576,0.052415,-0.372909,0.00112406409829545,0.12153982705628,-0.050580578858708,0.317616539951243,0.231597551894791,-4.55036853330582,10.8611047848805,21.9317598690075,0,0,3
581,8,0.000865000000000005,0.123101,0.051512,-0.339931,0.000876334038376133,0.123064708442264,-0.0493856681406849,0.295098032085958,0.277052761220731,-4.41800030741643,9.8670019144664,23.5088906554997,0,0,3
586,8,0.000625000000000001,0.124512,0.050615,-0.314172,0.000636335528547652,0.124474619797908,-0.0479430586497373,0.273083799414069,0.314447873456571,-4.26788094579306,8.887239990793,25.1480644903218,0,0,3
591,8,0.000395000000000006,0.125828,0.049165,-0.293713,0.000404683835607156,0.125778320157767,-0.0462831064116914,0.251803027055001,0.345396759342954,-4.11568831714385,7.93490262696683,26.5910430162315,0,0,3
596,8,0.000173000000000006,0.127041,0.046851,-0.273874,0.000181589274114005,0.12697889137203,-0.0444515640238412,0.231271058241267,0.372265228502677,-3.96060541357849,7.04174921879652,27.8760374365099,0,0,3
601,8,-3.49999999999934e-05,0.128137,0.045034,-0.254011,-3.29239650394197e-05,0.128099543046801,-0.0424891421814556,0.21214595612291,0.397363316798234,-3.85381244871782,6.22958977239715,28.2010376697531,0,0,3
606,8,-0.000201999999999994,0.128954,0.044024,-0.239846,-0.000237574280752218,0.12911222931446,-0.0403800561642005,0.193265875370484,0.419392814182811,-3.70887221156467,5.44561308913781,29.175480657274,0,0,3
611,8,-0.000432000000000002,0.130059,0.041815,-0.215078,-0.00043228967156781,0.130032131853944,-0.0381525136726892,0.175154624131446,0.440130628983962,-3.55838811889629,4.69794587347722,30.0915283617584,0,0,3
616,8,-0.000613000000000002,0.130882,0.039061,-0.188587,-0.000616473752868173,0.130862296435749,-0.0358162222078288,0.157819419705538,0.459627293097577,-3.40030434494524,3.96921007186341,30.9674383802682,0,0,3
621,8,-0.000782999999999992,0.131624,0.037684,-0.175966,-0.000789640606583735,0.131606710493753,-0.0333870894134296,0.141312212363225,0.478019139130226,-3.2349477751423,3.25112220567738,31.7539064155087,0,0,3
626,8,-0.000946000000000002,0.132289,0.035281,-0.1557,-0.000951270564198543,0.132268917435194,-0.0308750011061715,0.12563718105239,0.495083183324462,-3.0610090464144,2.52770253002647,32.4655643897389,0,0,3
631,8,-0.001094,0.132873,0.033784,-0.143691,-0.00110081265212682,0.132853099859505,-0.0282931017183072,0.11081989590827,0.510306210401834,-2.87880106803111,1.78804428757706,33.0814635475009,0,0,3
636,8,-0.001234,0.133385,0.030864,-0.128613,-0.00123771200916578,0.133363971377763,-0.0256604837759905,0.0969030149813895,0.522899278009241,-2.68982144745324,1.02991161619474,33.5549099649488,0,0,3
641,8,-0.001358,0.133833,0.029384,-0.112419,-0.00136142369157067,0.133806567013642,-0.0229969196125133,0.0839268182651504,0.531825415821637,-2.49607163363157,0.253368804848557,33.8392612677856,0,0,3
646,8,-0.00147,0.134216,0.026046,-0.094274,-0.0014715419346172,0.134185889088522,-0.0203332650597951,0.0719511024882773,0.53613095701912,-2.299122136725,-0.525319267043309,33.8560846779723,0,0,3
651,8,-0.00157,0.134533,0.023811,-0.084838,-0.00156782678873977,0.134508593642146,-0.017693363735493,0.0610081931436205,0.534990806442966,-2.10477056605646,-1.29767645174834,33.5601890152841,0,0,3
656,8,-0.00165999999999999,0.134806,0.022082,-0.072337,-0.00165025525644593,0.134780561356351,-0.0151066600731152,0.0511114900327194,0.527879102397738,-1.91649934424925,-2.04595288199736,32.9287843575068,0,0,3
661,8,-0.001733,0.135021,0.018861,-0.059366,-0.00171904455516114,0.135006180838436,-0.0125988839096769,0.0421731026940389,0.514658904284383,-1.73393464306305,-2.75555573930263,32.0686320896097,0,0,3
666,8,-0.00179299999999999,0.135187,0.016025,-0.047643,-0.00177487003396672,0.135188417101594,-0.0102050203884278,0.0340980648451352,0.49609702694881,-1.55356535034017,-3.39854501094843,31.0812059802443,0,0,3
671,8,-0.00183699999999999,0.135326,0.013428,-0.038843,-0.00181774134424724,0.135331341822391,-0.00793183146602535,0.0268409525676565,0.470917785591403,-1.37565216182921,-3.98206565798837,29.9892487200619,0,0,3
676,8,-0.001869,0.135422,0.01039,-0.031525,-0.00184838731688078,0.135439799088095,-0.00579764971232034,0.0203842054004864,0.439665497244411,-1.2029621669952,-4.49428548236033,28.7761666618732,0,0,3
681,8,-0.001885,0.135497,0.008361,-0.025562,-0.00186748875305318,0.135518344217668,-0.00381623777810209,0.014695400775575,0.402585201337778,-1.03785738126516,-4.92679240924938,27.4455860723419,0,0,3
686,8,-0.001886,0.135539,0.005156,-0.017242,-0.00187584224836321,0.135570986267109,-0.00200512960925858,0.00974026519140801,0.360083330959745,-0.881597005102609,-5.26344434943374,26.0018421662798,0,0,3
691,8,-0.001884,0.135572,0.002882,-0.014637,-0.00187473973332603,0.135601436735703,-0.000370449515909918,0.00545652552899533,0.313814729210094,-0.735183011380445,-5.50154566221252,24.4860988157407,0,0,3
696,8,-0.00186699999999999,0.135584,-0.000486,-0.008292,-0.00186537518412652,0.135612616448694,0.00108023838330116,0.00177673524293209,0.265098567713373,-0.598135044443087,-5.63512565146648,22.9434907461234,0,0,3
701,8,-0.001847,0.135587,-0.001929,-0.0039,-0.00184894313484329,0.135607105212568,0.00234885981550312,-0.00135265105122882,0.215219660070424,-0.469690578132865,-5.66924418648204,21.3973895157332,0,0,3
706,8,-0.001818,0.135582,-0.004176,-0.001621,-0.00182856998861029,0.135597156669628,0.00336143800423994,-0.0036286516378636,0.170603389051311,-0.375508440954027,-5.50535911758674,19.3931250632452,0,0,3
711,8,-0.001787,0.135562,-0.004176,-0.000264,-0.00180537613928297,0.135584048187379,0.00416070833591253,-0.00527241244227142,0.131833601341192,-0.309918219200963,-5.2083243424307,17.2217794942905,0,0,3
716,8,-0.001759,0.135545,-0.005728,0.002634,-0.0017781633549726,0.135558132935962,0.00484507185028138,-0.00678200918137761,0.0936768463832339,-0.240283857823219,-4.90845474538339,15.5030532713992,0,0,3
721,8,-0.00172399999999999,0.135516,-0.005942,0.003096,-0.00174911657951206,0.135527018751743,0.0053718144111026,-0.00792901880522229,0.0604926252058312,-0.183031765102542,-4.53787259849078,13.8474547826244,0,0,3
726,8,-0.00169699999999999,0.135488,-0.005783,0.005237,-0.00171915927962542,0.135491765095231,0.0057586944786943,-0.00877263473898284,0.0330850982252092,-0.136084956573442,-4.11530385705493,12.2856539544266,0,0,3
731,8,-0.00166999999999999,0.135461,-0.005783,0.005858,-0.00168900960982749,0.135453422853327,0.00601694617435697,-0.00935239887988572,0.0118285378189915,-0.0979655899189589,-3.64930097905694,10.8219891085,0,0,3
736,8,-0.00164399999999999,0.135428,-0.005783,0.005858,-0.00165925988521584,0.135412896928242,0.00617346169715476,-0.00971607040815622,-0.0030949533603045,-0.0673164214281465,-3.16903378407934,9.47356132361124,0,0,3
741,8,-0.001625,0.135403,-0.005783,0.005858,-0.00163022655909181,0.135370626274691,0.00624628258235948,-0.00989525358844455,-0.0120580094393529,-0.0420188396545758,-2.69043876414376,8.23687156756212,0,0,3
746,8,-0.00159899999999999,0.135348,-0.005945,0.006478,-0.00160209549227055,0.135327061966873,0.00625610361266275,-0.00993430955227333,-0.0156180804226159,-0.020483508446155,-2.23230480483221,7.12735222524584,0,0,3
751,8,-0.001577,0.135303,-0.005917,0.008484,-0.00157477152541734,0.135282441504871,0.00621872947742411,-0.0098591462256946,-0.014943873907782,-0.000974963412418095,-1.80574331887717,6.13708735485552,0,0,3
756,8,-0.001552,0.135248,-0.003562,0.009106,-0.00154811021788045,0.135237416261517,0.00615119902866463,-0.00968848401294721,-0.0111524991352406,0.0167078468439725,-1.42251267411825,5.25149800627193,0,0,3
761,8,-0.00152999999999999,0.135202,-0.005757,0.009567,-0.00152186975114613,0.135192228625331,0.00607314375786572,-0.00945403695572437,-0.00543999289922528,0.0335197189018679,-1.09800202235565,4.4779862325198,0,0,3
766,8,-0.001508,0.135157,-0.005757,0.009106,-0.00149578880152599,0.135147404529949,0.00599463546093208,-0.00915811208939869,0.00108116331198907,0.0493530503902235,-0.834257739563846,3.78671811021496,0,0,3
771,8,-0.001483,0.135107,-0.005758,0.011707,-0.00146951887248284,0.135103501217938,0.00593270344171939,-0.00881782580614245,0.00723312886234032,0.0638123635405581,-0.643633031627375,3.17287051518191,0,0,3
776,8,-0.001457,0.135058,-0.005653,0.009105,-0.00144288582195124,0.135060908667646,0.00589399614267104,-0.00844507158564339,0.0124462212381442,0.076683051107072,-0.525520681672013,2.62848715726439,0,0,3
781,8,-0.001427,0.13501,-0.005653,0.00878,-0.00141558421161679,0.135020001129901,0.00587543767265411,-0.0080398095280064,0.0158468286410053,0.0876933318742075,-0.467468389276542,2.13267533567672,0,0,3
786,8,-0.00139599999999999,0.134973,-0.005627,0.008616,-0.00138752884405256,0.134981135848346,0.0058754839915521,-0.0076118963020364,0.0171928247402213,0.0964471096910735,-0.461055789035997,1.6808640977242,0,0,3
791,8,-0.00136599999999999,0.134937,-0.005626,0.008615,-0.00135865511111765,0.134944673117058,0.00588639571251583,-0.00716610682284484,0.0162851703438213,0.102448451924399,-0.490949896414348,1.26495503102376,0,0,3
796,8,-0.001331,0.134901,-0.0056,0.00829,-0.00132883715380221,0.13491075534585,0.00591016961844234,-0.006715291723519,0.0127695304485377,0.105632214258676,-0.556271668470508,0.889397690235469,0,0,3
801,8,-0.0013,0.13487,-0.0056,0.007991,-0.00129839726281255,0.134879445961,0.00593138670624179,-0.00625902455616607,0.00748409499151997,0.106076916103985,-0.634034541272109,0.542616039643377,0,0,3
806,8,-0.001261,0.134837,-0.0056,0.005525,-0.00126739639211228,0.134850682711536,0.00594337265106574,-0.0057940984657191,0.000486777798085709,0.104141606867323,-0.715002188901921,0.209407557773545,0,0,3
811,8,-0.00122999999999999,0.134817,-0.005982,0.005525,-0.00123611073375736,0.134824450482085,0.00593568145420795,-0.00533089596798845,-0.00764681685327954,0.100008561633327,-0.785551254823308,-0.105793088476602,0,0,3
816,8,-0.00119799999999999,0.134797,-0.005982,0.005524,-0.00120495417966555,0.134800561484757,0.0058999050927266,-0.00485637667877069,-0.0160199388020312,0.0942859774806957,-0.835662330448614,-0.431615041065214,0,0,3
821,8,-0.001166,0.134782,-0.005956,0.004574,-0.00117401348439711,0.134779055402449,0.00582761606343865,-0.0043822587396379,-0.0247110142693958,0.0868940952917012,-0.855246971177519,-0.763242010341926,0,0,3
826,8,-0.001138,0.134771,-0.005956,0.003082,-0.00114382689004141,0.134759878607076,0.00571338893386928,-0.00391609074469709,-0.0326118535699446,0.0778963657874479,-0.838201696037405,-1.10156633857633,0,0,3
831,8,-0.001107,0.134751,-0.005956,0.003082,-0.00111447159816902,0.13474294079388,0.0055581549534918,-0.00348366401108424,-0.0399040685311165,0.0672865444289501,-0.786414261277089,-1.42237832669666,0,0,3
836,8,-0.001083,0.134744,-0.005957,0.003082,-0.00108623998128921,0.134727526293713,0.005367665736713,-0.00310067032561945,-0.0461533862965867,0.0565940394009425,-0.707259249451423,-1.71700333816412,0,0,3
